TN4270301d_val,TN4270401d_val,TN4270501d_val,TN4270601d_val,TN4270701d_val,TN4270801d_val,TN4270901d_val,TN4271001d_val,TN4271101d_val,TN4271201d_val,TN4271301d_val,TN4271401d_val,TN4271502d_val
22.101,21.8904,21.8822,22.0342,22.0856,22.1148,22.1859,22.2011,22.2145,22.2111,21.9217,21.8126,21.7395
22.101,21.8904,21.8822,22.0342,22.0856,22.1148,22.1859,22.2011,22.2145,22.2111,21.9217,21.8126,21.7395
22.101,21.8904,21.8822,22.0342,22.0856,22.1148,22.1859,22.2011,22.2145,22.2111,21.9217,21.8126,21.7395
22.101,21.8904,21.8822,22.0342,22.0856,22.1148,22.1859,22.2011,22.2145,22.2111,21.9217,21.8126,21.7395
22.0999,21.9374,21.8885,22.0329,22.0863,22.1166,22.1861,22.203,22.2146,22.2127,21.9221,21.8122,21.7391
22.0999,21.9374,21.8885,22.0329,22.0863,22.1166,22.1861,22.203,22.2146,22.2127,21.9221,21.8122,21.7391
22.0989,21.989,21.8823,22.0336,22.087,22.116,22.1864,22.2025,22.2142,22.2117,21.9228,21.8116,21.7392
22.0989,21.989,21.8823,22.0336,22.087,22.116,22.1864,22.2025,22.2142,22.2117,21.9228,21.8116,21.7392
22.0987,22.013,21.8807,22.034,22.0871,22.1159,22.1865,22.2023,22.2142,22.211,21.9217,21.8118,21.739
22.0987,22.013,21.8807,22.034,22.0871,22.1159,22.1865,22.2023,22.2142,22.211,21.9217,21.8118,21.739
22.0987,22.0195,21.8774,22.0341,22.0892,22.117,22.1863,22.2,22.2144,22.2101,21.9217,21.8117,21.7388
22.0987,22.0195,21.8774,22.0341,22.0892,22.117,22.1863,22.2,22.2144,22.2101,21.9217,21.8117,21.7388
22.0993,22.0221,21.8778,22.0332,22.09,22.1165,22.1866,22.2003,22.2147,22.211,21.9215,21.8117,21.7385
22.0993,22.0221,21.8778,22.0332,22.09,22.1165,22.1866,22.2003,22.2147,22.211,21.9215,21.8117,21.7385
22.0997,22.024,21.8777,22.0318,22.0944,22.1175,22.1864,22.1998,22.2156,22.2108,21.9215,21.8126,21.7384
22.0997,22.024,21.8777,22.0318,22.0944,22.1175,22.1864,22.1998,22.2156,22.2108,21.9215,21.8126,21.7384
22.1012,22.0266,21.8766,22.0315,22.0996,22.1199,22.1856,22.2,22.2156,22.2106,21.9219,21.8134,21.7508
