TN4270301d_val,TN4270401d_val,TN4270501d_val,TN4270601d_val,TN4270701d_val,TN4270801d_val,TN4270901d_val,TN4271001d_val,TN4271101d_val,TN4271201d_val,TN4271301d_val,TN4271401d_val,TN4271502d_val
35.6036,35.5971,35.4232,35.4217,35.4567,35.4562,35.4551,35.3627,35.2939,35.3359,35.1122,34.9923,34.9925
35.6036,35.5971,35.4232,35.4217,35.4567,35.4562,35.4551,35.3627,35.2939,35.3359,35.1122,34.9923,34.9925
35.6036,35.5971,35.4232,35.4217,35.4567,35.4562,35.4551,35.3627,35.2939,35.3359,35.1122,34.9923,34.9925
35.6036,35.5971,35.4232,35.4217,35.4567,35.4562,35.4551,35.3627,35.2939,35.3359,35.1122,34.9923,34.9925
35.6035,35.5939,35.4239,35.4215,35.4565,35.4567,35.4552,35.3668,35.2941,35.3359,35.1121,34.9929,34.9927
35.6035,35.5939,35.4239,35.4215,35.4565,35.4567,35.4552,35.3668,35.2941,35.3359,35.1121,34.9929,34.9927
35.6032,35.5911,35.4229,35.4216,35.4566,35.4566,35.4553,35.3666,35.2939,35.3361,35.1125,34.9935,34.9927
35.6032,35.5911,35.4229,35.4216,35.4566,35.4566,35.4553,35.3666,35.2939,35.3361,35.1125,34.9935,34.9927
35.6033,35.5892,35.4223,35.4216,35.4566,35.4564,35.4555,35.3669,35.2937,35.3362,35.1124,34.994,34.9926
35.6033,35.5892,35.4223,35.4216,35.4566,35.4564,35.4555,35.3669,35.2937,35.3362,35.1124,34.994,34.9926
35.6032,35.5885,35.4215,35.4217,35.4562,35.4563,35.4554,35.3667,35.2936,35.3363,35.1129,34.9945,34.9926
35.6032,35.5885,35.4215,35.4217,35.4562,35.4563,35.4554,35.3667,35.2936,35.3363,35.1129,34.9945,34.9926
35.6034,35.588,35.4219,35.4215,35.4559,35.4564,35.4554,35.3676,35.2937,35.3361,35.1128,34.9946,34.9926
35.6034,35.588,35.4219,35.4215,35.4559,35.4564,35.4554,35.3676,35.2937,35.3361,35.1128,34.9946,34.9926
35.6035,35.5879,35.4222,35.4214,35.4555,35.4561,35.4554,35.3676,35.2939,35.3363,35.1126,34.9937,34.9927
35.6035,35.5879,35.4222,35.4214,35.4555,35.4561,35.4554,35.3676,35.2939,35.3363,35.1126,34.9937,34.9927
35.6039,35.5879,35.4223,35.4214,35.4548,35.4556,35.4555,35.3684,35.2939,35.3362,35.1129,34.9933,34.9986
35.6039,35.5879,35.4223,35.4214,35.4548,35.4556,35.4555,35.3684,35.2939,35.3362,35.1129,34.9933,34.9986
35.6038,35.5877,35.4221,35.4214,35.4545,35.4547,35.4551,35.3683,35.2941,35.336,35.1134,34.9931,35.0059
35.6038,35.5877,35.4221,35.4214,35.4545,35.4547,35.4551,35.3683,35.2941,35.336,35.1134,34.9931,35.0059
35.604,35.5876,35.4213,35.4214,35.4541,35.4544,35.4547,35.3666,35.2931,35.3357,35.1138,34.9932,35.0114
35.604,35.5876,35.4213,35.4214,35.4541,35.4544,35.4547,35.3666,35.2931,35.3357,35.1138,34.9932,35.0114
