TN4270301d_val,TN4270401d_val,TN4270501d_val,TN4270601d_val,TN4270701d_val,TN4270801d_val,TN4270901d_val,TN4271001d_val,TN4271101d_val,TN4271201d_val,TN4271301d_val,TN4271401d_val,TN4271502d_val
30.2278,30.8226,30.4704,30.0249,29.9513,29.8647,29.6533,29.4036,29.2106,29.3144,29.674,29.7303,29.9456
30.2278,30.8226,30.4704,30.0249,29.9513,29.8647,29.6533,29.4036,29.2106,29.3144,29.674,29.7303,29.9456
30.2278,30.8226,30.4704,30.0249,29.9513,29.8647,29.6533,29.4036,29.2106,29.3144,29.674,29.7303,29.9456
30.2278,30.8226,30.4704,30.0249,29.9513,29.8647,29.6533,29.4036,29.2106,29.3144,29.674,29.7303,29.9456
30.231,30.6808,30.4541,30.0287,29.9492,29.861,29.6535,29.4076,29.2112,29.3099,29.6729,29.7334,29.9475
30.231,30.6808,30.4541,30.0287,29.9492,29.861,29.6535,29.4076,29.2112,29.3099,29.6729,29.7334,29.9475
30.234,30.5263,30.4702,30.0274,29.9479,29.8631,29.6534,29.4091,29.2124,29.3141,29.6722,29.7371,29.948
30.234,30.5263,30.4702,30.0274,29.9479,29.8631,29.6534,29.4091,29.2124,29.3141,29.6722,29.7371,29.948
30.2353,30.4534,30.4743,30.0269,29.9483,29.8635,29.6537,29.4109,29.2123,29.3165,29.6759,29.7379,29.9487
30.2353,30.4534,30.4743,30.0269,29.9483,29.8635,29.6537,29.4109,29.2123,29.3165,29.6759,29.7379,29.9487
30.2356,30.4333,30.4825,30.0271,29.9417,29.8605,29.655,29.4176,29.2122,29.32,29.6774,29.7397,29.9497
30.2356,30.4333,30.4825,30.0271,29.9417,29.8605,29.655,29.4176,29.2122,29.32,29.6774,29.7397,29.9497
30.2347,30.4255,30.4828,30.0299,29.9392,29.8626,29.6545,29.4193,29.212,29.3177,29.6782,29.7406,29.951
30.2347,30.4255,30.4828,30.0299,29.9392,29.8626,29.6545,29.4193,29.212,29.3177,29.6782,29.7406,29.951
30.2342,30.4201,30.4842,30.0342,29.926,29.8596,29.6554,29.4215,29.2101,29.3189,29.6782,29.7362,29.952
30.2342,30.4201,30.4842,30.0342,29.926,29.8596,29.6554,29.4215,29.2101,29.3189,29.6782,29.7362,29.952
30.2315,30.4131,30.4881,30.0356,29.9097,29.8519,29.6585,29.423,29.2105,29.32,29.6782,29.7335,29.9294
30.2315,30.4131,30.4881,30.0356,29.9097,29.8519,29.6585,29.423,29.2105,29.32,29.6782,29.7335,29.9294
30.2338,30.4073,30.4883,30.0362,29.9061,29.8297,29.6581,29.4228,29.2113,29.3163,29.6795,29.7315,29.9093
30.2338,30.4073,30.4883,30.0362,29.9061,29.8297,29.6581,29.4228,29.2113,29.3163,29.6795,29.7315,29.9093
30.235,30.4032,30.4811,30.0348,29.8984,29.8239,29.6572,29.4192,29.2135,29.3133,29.6801,29.7333,29.9007
30.235,30.4032,30.4811,30.0348,29.8984,29.8239,29.6572,29.4192,29.2135,29.3133,29.6801,29.7333,29.9007
30.2389,30.4009,30.4773,30.0321,29.889,29.8273,29.6589,29.4204,29.2159,29.3119,29.6813,29.7334,29.8994
30.2389,30.4009,30.4773,30.0321,29.889,29.8273,29.6589,29.4204,29.2159,29.3119,29.6813,29.7334,29.8994
